taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,assessment_level,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_outstanding_balance
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Catalunan Grande,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,76,0.2,0.0114,1473.19,2024,17,8,2,1,54.1,964.7,40.89,0,9.0,3.0,6.872853226972873
Company,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 36-D (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,483,0.5,0.017,105722.29,2024,16,8,3,0,35.1,43338.08,51.34,0,3.0,1.0,10.676810047361583
Company,Maco,Davao De Oro,Davao Del Sur,City of Davao,Tagakpan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,656,0.4,0.0149,29105.62,2024,10,8,3,1,51.7,24084.35,46.18,1,6.0,2.0,10.089359050825042
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,  Igpit ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,183,0.2,0.0122,3900.13,2022,5,5,2,1,38.8,2543.96,46.94,0,3.0,1.0,7.841870211768771
Individual,Kapalong,Davao Del Norte,Davao Del Sur,City of Davao,Baliok,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 20C,115,0.25,0.0147,5603.77,2024,18,8,2,1,54.9,2820.37,53.05,0,3.0,1.0,7.944977861564802
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Ubalde,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,76,0.2,0.012,1407.32,2024,5,4,2,1,43.6,742.45,45.25,1,12.0,4.0,6.611301514143232
Individual,New Corella,Davao Del Norte,Davao Oriental,Governor Generoso,Pundaguitan,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 13C,39,0.25,0.0117,1477.33,2021,7,8,2,1,33.9,883.64,61.31,0,12.0,4.0,6.785180782589623
Company,Padada,Davao Del Sur,Davao Del Sur,City of Davao,Paradise Embak,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 25A,93,0.25,0.0127,4199.72,2023,14,8,1,1,32.8,1926.14,70.0,0,9.0,3.0,7.5637923175657
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lumiad,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,243,0.5,0.0169,42899.33,2024,13,8,2,0,27.4,13478.32,86.19,0,6.0,2.0,9.508911938090044
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Matina Pangi,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,79,0.2,0.0116,1022.61,2024,18,8,2,1,44.3,692.86,43.34,0,3.0,1.0,6.542270211050123
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 29-C (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,580,0.5,0.0156,62093.2,2022,7,6,1,0,7.4,20895.89,74.01,0,6.0,2.0,9.947355623052763
Company,City of Davao,Davao Del Sur,Davao Del Sur,Sulop,Parame,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14C,107,0.25,0.0132,3077.77,2022,17,8,4,2,83.4,3172.12,5.0,1,12.0,4.0,8.062470609966716
Company,Matanao,Davao Del Sur,Davao De Oro,Monkayo,Pasian,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,115,0.5,0.0183,19867.13,2021,7,7,4,2,73.5,23932.77,5.0,1,9.0,3.0,10.083045711327113
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Tambo,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,152,0.2,0.0144,3277.68,2024,12,8,2,1,30.7,2281.45,62.49,0,,,7.73300470642415
Company,City of Davao,Davao Del Sur,Davao Del Sur,Magsaysay,Malawanit,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4691,0.4,0.0129,30674.94,2022,16,8,1,1,30.9,16141.92,77.52,0,6.0,2.0,9.689236842436893
Company,City of Davao,Davao Del Sur,Davao Oriental,Cateel,San Vicente,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,612,0.2,0.0118,3225.84,2024,16,8,1,1,29.4,1845.21,78.74,0,9.0,3.0,7.520890168072635
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 20-B (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,187,0.2,0.0145,5151.19,2023,8,8,2,1,50.2,3485.98,41.97,0,6.0,2.0,8.15679131106987
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Acacia,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,189,0.2,0.0107,2038.37,2022,6,6,1,1,48.6,836.68,45.86,0,6.0,2.0,6.730636165979207
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bago Aplaya,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,249,0.2,0.0136,3452.65,2021,4,4,2,1,80.9,1892.22,14.3,1,6.0,2.0,7.546034362100527
Individual,Padada,Davao Del Sur,Davao Del Norte,Santo Tomas,San Miguel,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,318,0.2,0.014,4674.83,2022,6,5,2,1,56.4,2497.11,40.09,1,12.0,4.0,7.823289724944184
Individual,Island Garden City of Samal,Davao Del Norte,Davao Oriental,Governor Generoso,Magdug,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4377,0.4,0.0122,15492.12,2023,18,8,1,1,26.6,7877.63,77.35,0,12.0,4.0,8.971909309868874
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tawan-tawan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,218,0.2,0.0132,4797.56,2023,16,8,1,1,27.7,2443.92,72.34,0,6.0,2.0,7.8017676815372665
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Kiblawan,Waterfall,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,261,0.2,0.0114,4093.3,2023,4,3,2,1,39.8,2292.4,38.57,1,6.0,2.0,7.737790711604204
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Panacan,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1619,0.5,0.0173,134285.44,2024,21,8,2,1,42.8,95333.85,44.45,1,6.0,2.0,11.465150710098241
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Talandang,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,795,0.5,0.0164,84658.08,2021,14,8,2,1,54.4,47750.67,34.83,1,12.0,4.0,10.773769319119296
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Los Amigos,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,291,0.2,0.0119,2462.23,2021,8,8,2,1,33.4,1436.77,63.17,0,9.0,3.0,7.270848581121351
Individual,Maco,Davao De Oro,Davao Del Sur,City of Davao,Barangay 21-C (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,79,0.2,0.0134,1108.3,2021,8,7,2,1,52.4,703.17,39.05,0,9.0,3.0,6.557019804279825
Company,Santa Maria,Davao Occidental,Davao Del Sur,City of Davao,Barangay 19-B (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3140,0.4,0.0101,16324.17,2021,15,8,2,1,41.1,10508.34,46.38,0,,,9.260019664563291
Company,City of Davao,Davao Del Sur,Davao Oriental,Caraga,Poblacion,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,91,0.2,0.0133,1008.1,2023,12,8,1,1,36.8,447.79,63.58,0,6.0,2.0,6.106555072320319
Company,New Bataan,Davao De Oro,Davao Del Sur,City of Davao,Barangay 36-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,105,0.2,0.0141,1532.23,2022,19,8,5,2,96.2,1730.09,5.0,1,9.0,3.0,7.456506546892207
Company,Maco,Davao De Oro,Davao Del Sur,City of Davao,Ubalde,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,311,0.2,0.0131,5204.02,2023,8,7,2,1,43.9,3267.31,40.12,0,3.0,1.0,8.092028310722167
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mabuhay,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,224,0.2,0.0111,2774.45,2024,13,8,4,2,95.9,3142.28,5.0,1,3.0,1.0,8.053022119689258
Company,Carmen,Davao Del Norte,Davao De Oro,Nabunturan,Matilo,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,480,0.5,0.0174,77597.64,2024,18,8,1,1,30.8,37158.57,75.77,0,6.0,2.0,10.522976621278477
Individual,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Barangay 28-C (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,86,0.2,0.0131,1707.79,2024,8,8,1,1,31.3,1088.17,62.56,0,9.0,3.0,6.9931712172693485
Company,City of Mati,Davao Oriental,Davao Del Sur,City of Davao,Barangay 38-D (Pob.),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,219,0.45,0.0133,28233.81,2023,10,8,2,1,39.4,17048.66,37.28,0,6.0,2.0,9.743885541163857
Individual,Malalag,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Libuak,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 22C,61,0.25,0.013,2962.37,2024,18,8,2,1,55.9,1513.06,50.8,0,9.0,3.0,7.322550063331032
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Sirawan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,112,0.2,0.011,1800.88,2022,11,8,3,1,56.8,1453.69,28.3,1,6.0,2.0,7.2825480984861795
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 36-D (Pob.),Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 12B,89,0.25,0.0142,6260.15,2023,7,8,1,0,20.7,944.85,83.47,0,6.0,2.0,6.8520839941116725
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,Magsaysay,Poblacion,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,188,0.45,0.0163,9249.77,2022,12,8,1,1,32.4,5549.73,68.36,0,9.0,3.0,8.621684729622498
Company,Caraga,Davao Oriental,Davao Del Sur,CITY OF DAVAO,Lapu-lapu,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,278,0.2,0.0123,3678.54,2023,15,8,3,1,58.0,2788.0,44.96,1,6.0,2.0,7.933438387627489
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Inayangan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,254,0.2,0.013,4356.05,2021,18,8,2,1,60.7,2714.05,53.07,0,12.0,4.0,7.9065656484047215
Company,City of Davao,Davao Del Sur,Davao Del Sur,Malalag,Kiblagon,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,567,0.5,0.0181,110650.54,2023,8,8,1,1,31.9,49910.16,79.94,0,6.0,2.0,10.817999904028872
Individual,Tarragona,Davao Oriental,Davao Occidental,Malita,Demoloc,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,745,0.5,0.0171,63428.53,2021,15,8,2,1,40.9,32020.52,42.17,0,6.0,2.0,10.374163455755069
Individual,Padada,Davao Del Sur,Davao De Oro,Montevista,San Jose (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,252,0.2,0.0127,4283.51,2024,9,8,3,1,44.9,2994.13,29.3,1,12.0,4.0,8.004742915283677
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tigatto,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3036,0.4,0.0103,27164.13,2023,20,8,3,1,46.4,16951.32,37.42,0,,,9.738159976598663
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tapak,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,396,0.5,0.0155,66746.95,2023,10,8,3,1,60.5,55365.99,24.38,1,6.0,2.0,10.921738846771733
Individual,Padada,Davao Del Sur,Davao Del Sur,City of Davao,Waan,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 20D,75,0.25,0.0125,3777.81,2023,14,8,1,1,29.9,2386.42,68.99,0,3.0,1.0,7.777968563940082
Individual,Malita,Davao Occidental,Davao Del Norte,City of Tagum,San Miguel,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,120,0.5,0.0174,17667.78,2021,8,8,3,1,58.8,11632.99,38.07,1,12.0,4.0,9.361686264920742
Company,City of Davao,Davao Del Sur,Davao De Oro,Maco,Concepcion,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1969,0.5,0.0193,180141.68,2021,18,8,3,1,49.8,139750.53,46.63,1,9.0,3.0,11.847621339079062
Company,City of Davao,Davao Del Sur,Davao Del Norte,New Corella,Poblacion,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1166,0.5,0.017,87207.52,2024,7,6,0,0,0.0,12978.41,91.31,0,3.0,1.0,9.471119534679538
Individual,City of Davao,Davao Del Sur,Davao Oriental,San Isidro,San Roque,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,97,0.2,0.0133,1919.68,2023,16,8,1,1,22.9,1020.74,67.59,0,9.0,3.0,6.929262335266568
Company,City of Mati,Davao Oriental,Davao Del Sur,City of Davao,  Baracatan ,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,558,0.5,0.0153,69660.11,2024,19,8,1,0,10.6,13406.73,91.38,0,9.0,3.0,9.503586685287605
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tungakalan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,144,0.2,0.0121,3218.23,2022,13,8,3,1,52.6,2344.88,45.72,0,9.0,3.0,7.760415877010028
Individual,Governor Generoso,Davao Oriental,Davao Del Sur,Hagonoy,  Guihing ,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3424,0.4,0.0123,12178.24,2022,5,5,3,1,79.4,8288.56,8.06,1,12.0,4.0,9.022752170725585
Individual,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Barangay 24-C (Pob.),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,489,0.2,0.0108,4143.74,2024,14,8,1,1,33.3,1775.74,67.42,0,3.0,1.0,7.482535503437331
Individual,Kapalong,Davao Del Norte,Davao De Oro,Monkayo,Casoon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,127,0.2,0.0134,1719.96,2024,20,8,3,2,70.0,1729.01,11.34,1,6.0,2.0,7.455882467821939
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Tagum,Liboganon,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14D,100,0.25,0.012,3501.99,2021,18,8,2,1,60.1,2317.39,54.65,0,9.0,3.0,7.748628258237585
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 39-D (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2792,0.4,0.0118,34686.61,2021,6,5,2,0,34.9,13611.21,50.95,0,6.0,2.0,9.518722463065707
Individual,Magsaysay,Davao Del Sur,Davao Del Sur,City of Davao,Talomo (Pob.),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,572,0.2,0.0125,4082.77,2024,20,8,3,1,52.7,3373.08,37.46,1,3.0,1.0,8.123877973553924
Company,Baganga,Davao Oriental,Davao Oriental,Baganga,Salingcomot,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1953,0.5,0.0194,236237.24,2023,12,8,2,1,37.0,136054.66,41.83,1,3.0,1.0,11.820819345698116
Company,Santo Tomas,Davao Del Norte,Davao Del Sur,City of Davao,Tigatto,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,280,0.4,0.0155,16201.48,2022,11,8,2,1,45.6,11423.62,50.07,0,6.0,2.0,9.343525954815393
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Sirawan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,986,0.4,0.0138,45279.1,2022,14,8,1,1,28.4,22935.1,66.49,0,3.0,1.0,10.040467367511846
Individual,City of Davao,Davao Del Sur,Davao De Oro,Laak,Concepcion,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,256,0.2,0.0138,4174.94,2024,16,8,2,0,20.8,878.41,83.34,0,9.0,3.0,6.77925122807164
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Santo Tomas,Kimamon,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 11C,87,0.25,0.0145,4176.52,2023,8,7,2,0,29.2,1515.9,73.03,0,6.0,2.0,7.324424057597627
Company,Magsaysay,Davao Del Sur,Davao Del Sur,City of Davao,Crossing Bayabas,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,622,0.2,0.0115,3008.12,2021,6,6,1,1,24.4,1784.72,70.27,0,9.0,3.0,7.48757697422996
Individual,Maco,Davao De Oro,Davao Del Sur,City of Davao,Mudiang,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,294,0.2,0.0132,6249.8,2022,9,8,3,1,52.3,3970.82,34.78,1,6.0,2.0,8.286979706917663
Company,Cateel,Davao Oriental,Davao Oriental,San Isidro,Dugmanon,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4414,0.4,0.0103,26450.54,2023,12,8,3,2,83.5,26386.54,10.97,1,12.0,4.0,10.180647208024684
Individual,Kapalong,Davao Del Norte,Davao Occidental,Don Marcelino,Dalupan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,545,0.4,0.0106,4887.91,2024,10,8,3,1,43.7,4095.94,41.34,1,,,8.31799563257754
Company,Montevista,Davao De Oro,Davao Del Norte,Santo Tomas,Balagunan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,394,0.45,0.0129,30928.14,2022,17,8,2,1,38.3,21479.09,64.63,0,12.0,4.0,9.974881738558157
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Cadalian,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,655,0.4,0.0143,24671.02,2023,5,6,2,1,39.4,13766.93,42.23,1,6.0,2.0,9.53009725362511
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Barangay 21-C (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3242,0.4,0.0125,43383.94,2023,16,8,4,1,87.0,31828.35,8.48,1,12.0,4.0,10.368144099081137
Individual,City of Davao,Davao Del Sur,Davao De Oro,Maco,Hijo,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,236,0.2,0.0142,3540.56,2024,18,8,2,1,39.3,2032.23,43.07,0,12.0,4.0,7.617380940529799
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bago Oshiro,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,188,0.2,0.0106,2753.6,2024,9,8,4,1,55.0,2172.04,5.0,1,6.0,2.0,7.683882387818256
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Daliao,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,585,0.2,0.0117,6947.47,2022,16,8,3,1,43.4,5350.63,34.75,1,9.0,3.0,8.585156466383886
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Sulop,Tala-o,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,229,0.2,0.0119,4050.58,2021,18,8,2,1,34.7,2341.83,68.91,0,6.0,2.0,7.759114879324012
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Santo Tomas,New Katipunan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,150,0.2,0.0126,2250.92,2021,1,1,1,1,52.0,1259.72,47.54,1,6.0,2.0,7.1394382653138155
Individual,City of Digos,Davao Del Sur,Davao Del Sur,Hagonoy,San Guillermo,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1059,0.4,0.0104,5240.01,2022,8,8,4,2,74.4,5641.44,5.0,1,6.0,2.0,8.63807187505075
Company,Pantukan,Davao De Oro,Davao Del Sur,City of Davao,Lubogan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,235,0.2,0.0116,4620.99,2021,10,8,4,2,98.5,5166.98,5.0,1,9.0,3.0,8.55023717548591
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Panabo,Quezon,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1924,0.4,0.0113,6506.57,2023,4,5,3,1,78.7,5409.36,6.67,1,6.0,2.0,8.596070913064688
Company,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Salapawan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,414,0.5,0.015,43129.18,2024,11,8,5,1,89.5,39326.57,9.49,1,9.0,3.0,10.579681078620064
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 39-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,87,0.2,0.0144,2456.36,2022,12,8,1,1,32.1,1436.43,72.29,0,,,7.27061207583366
Company,City of Panabo,Davao Del Norte,Davao Del Sur,Matanao,Asinan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,134,0.45,0.0141,11412.59,2023,3,3,2,1,57.4,5900.83,26.66,1,6.0,2.0,8.683017751292724
Company,City of Davao,Davao Del Sur,Davao Occidental,Jose Abad Santos,Tabayon,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,204,0.5,0.0137,15538.32,2023,6,5,1,1,29.7,6287.88,72.87,0,,,8.746538273426495
Individual,Sulop,Davao Del Sur,Davao De Oro,Maragusan,  Bahi ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,148,0.2,0.0143,1664.26,2021,11,8,4,1,61.9,1332.13,13.38,1,3.0,1.0,7.195284839804611
Individual,City of Davao,Davao Del Sur,Davao De Oro,Laak,New Bethlehem,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,470,0.2,0.0118,3006.47,2022,4,3,2,1,61.3,1935.09,13.87,1,6.0,2.0,7.568425754359313
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,MAGSAYSAY,New Opon,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,345,0.5,0.0172,55080.73,2023,20,8,2,1,49.8,36484.96,39.84,0,6.0,2.0,10.50468280803665
Company,City of Davao,Davao Del Sur,Davao Del Sur,Magsaysay,Mabini,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,202,0.5,0.017,37528.74,2023,18,8,1,0,14.3,7095.28,80.48,0,9.0,3.0,8.867325982060992
Individual,Malita,Davao Occidental,Davao Del Sur,City of Davao,  Barangay 9-A (Pob.) ,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,524,0.2,0.0106,2558.33,2023,5,6,2,1,54.7,1377.98,45.76,0,9.0,3.0,7.229099374424894
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,New Valencia,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,238,0.5,0.0173,51261.42,2021,16,8,1,1,22.3,29226.74,64.24,0,9.0,3.0,10.28287353729196
Individual,Nabunturan,Davao De Oro,Davao Del Sur,Kiblawan,Tacul,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 17C,89,0.25,0.0117,2625.0,2022,13,8,5,1,64.7,2485.74,5.0,1,12.0,4.0,7.818727894711479
Individual,Cateel,Davao Oriental,Davao Del Sur,City of Davao,Ilang,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,107,0.2,0.0115,1635.87,2022,16,8,3,2,99.6,1797.76,7.08,1,9.0,3.0,7.494852817602386
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Fatima (Benowang),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,194,0.45,0.0146,13651.86,2024,6,6,4,1,73.7,9797.15,5.0,1,3.0,1.0,9.18994887132812
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,Kapatagan,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,458,0.5,0.016,25646.65,2024,18,8,2,1,54.2,13340.3,42.52,0,12.0,4.0,9.49861976599591
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Dalagdag,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,205,0.2,0.0131,3712.24,2021,8,8,2,1,53.2,1917.68,34.73,0,12.0,4.0,7.55939272858533
Individual,Maco,Davao De Oro,Davao Del Sur,City of Davao,Lizada,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,267,0.2,0.0136,3665.35,2024,18,8,2,1,53.3,2062.99,53.3,0,6.0,2.0,7.632396281628476
Company,Magsaysay,Davao Del Sur,Davao Del Sur,City of Davao,Baganihan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,267,0.2,0.0142,4579.43,2024,16,8,1,0,11.5,717.28,90.97,0,12.0,4.0,6.576859465173697
Company,Padada,Davao Del Sur,Davao Occidental,Sarangani,Mabila (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,495,0.5,0.0135,72913.91,2022,12,8,1,1,22.2,41496.29,72.57,0,9.0,3.0,10.633383402881753
Individual,Manay,Davao Oriental,Davao Del Sur,City of Davao,Salaysay,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,113,0.2,0.014,3041.66,2023,11,8,2,1,41.2,1592.56,43.41,0,6.0,2.0,7.373725786113707
Individual,City of Davao,Davao Del Sur,Davao Oriental,San Isidro,San Roque,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,97,0.2,0.0139,1975.76,2021,14,8,1,1,26.6,1145.59,67.72,0,,,7.044547598998958
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Norte,San Isidro,Kipalili,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,498,0.2,0.0102,4189.92,2023,17,8,1,0,19.4,623.85,80.66,0,6.0,2.0,6.437511620931793
Individual,City of Davao,Davao Del Sur,Davao De Oro,Laak,Concepcion,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,256,0.2,0.0112,3338.04,2022,14,8,2,1,35.6,2237.09,68.96,0,3.0,1.0,7.713378102540502
Company,Kapalong,Davao Del Norte,Davao Del Sur,City of Davao,Centro (San Juan),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2028,0.4,0.013,21739.81,2024,4,4,2,0,34.9,7899.53,48.1,0,9.0,3.0,8.974685124812368
Individual,Compostela,Davao De Oro,Davao Del Sur,City of Davao,Buda,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4978,0.4,0.0109,54030.93,2021,2,3,1,0,19.5,17668.26,65.89,0,12.0,4.0,9.779581685546022
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mudiang,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,642,0.5,0.0147,86864.06,2021,12,8,3,1,87.9,72745.96,5.0,1,6.0,2.0,11.19474239721906
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Talomo River,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 28B,74,0.25,0.0148,4482.21,2022,14,8,2,1,52.5,2247.83,50.26,0,12.0,4.0,7.718165359951578
